id,module,feature,legacy_evidence,api_or_bridge,react_evidence,browser_test,electron_test,status,reviewer,rationale
MESSAGE-004,MESSAGE,edit and resend user message,manyselves/gui/main_window.py:MainWindow._on_message_edit_resend_requested,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
MESSAGE-005,MESSAGE,render user message from bus,manyselves/gui/main_window.py:MainWindow._handle_user_message,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-001,AGENT,switch visible agent panel,manyselves/gui/main_window.py:MainWindow._on_agent_type_changed,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-002,AGENT,route backend user messages,manyselves/app.py:BackendAPIImpl.send_user_message,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-003,AGENT,interrupt active agent operation,manyselves/gui/main_window.py:MainWindow._on_interrupt,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-004,AGENT,render status and errors,manyselves/gui/main_window.py:MainWindow._handle_status_change and _handle_error,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-005,AGENT,debug panel entries and export,manyselves/gui/widgets/debug_panel.py:DebugPanel.add_entry and export_to_json,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TOOL-001,TOOL,render tool invocation timeline,manyselves/gui/main_window.py:MainWindow._handle_tool_call,,frontend/src/features/tools/ToolCallGroup.test.tsx; frontend/src/features/agents/AgentSidebar.test.tsx,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TOOL-002,TOOL,render tool result timeline,manyselves/gui/main_window.py:MainWindow._handle_tool_result,,frontend/src/features/tools/ToolCallGroup.test.tsx; frontend/src/features/agents/AgentSidebar.test.tsx,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TOOL-003,TOOL,show exec command and output detail,manyselves/gui/widgets/tool_call_group.py:ToolCallGroup._exec_card,,frontend/src/features/tools/ToolCallGroup.test.tsx; frontend/src/features/agents/AgentSidebar.test.tsx,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TOOL-004,TOOL,merge related tool call groups,manyselves/gui/widgets/tool_call_group.py:ToolCallGroup.can_merge_with_last,,frontend/src/features/tools/ToolCallGroup.test.tsx; frontend/src/features/agents/AgentSidebar.test.tsx,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TASK-001,TASK,render task update from bus,manyselves/gui/main_window.py:MainWindow._handle_task_update_msg,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TASK-002,TASK,render task board snapshot,manyselves/gui/widgets/tool_call_group.py:ToolCallGroup._render_task_board,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
TASK-003,TASK,display task status controls,manyselves/gui/widgets/tool_call_group.py:_TaskStatusControl,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONFIG-001,CONFIG,edit provider API configuration,manyselves/gui/config_dialog.py:ConfigCard.get_config,,frontend/src/features/settings/SettingsPage.test.tsx,frontend/e2e/settings.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONFIG-002,CONFIG,add and remove provider configuration,manyselves/gui/config_dialog.py:ConfigDialog._add_config and _remove_card,,frontend/src/features/settings/SettingsPage.test.tsx,frontend/e2e/settings.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONFIG-003,CONFIG,save and reset configuration,manyselves/gui/config_dialog.py:ConfigDialog._save_config and _reset_config,,frontend/src/features/settings/SettingsPage.test.tsx,frontend/e2e/settings.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONFIG-004,CONFIG,sync provider presets,manyselves/gui/config_dialog.py:ConfigDialog._sync_presets,,frontend/src/features/settings/SettingsPage.test.tsx,frontend/e2e/settings.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONFIG-005,CONFIG,switch provider and model,manyselves/app.py:BackendAPIImpl.switch_provider and switch_model,,frontend/src/features/settings/SettingsPage.test.tsx,frontend/e2e/settings.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-001,REPORT,render report message in main panel,manyselves/gui/main_window.py:MainWindow._handle_report_message,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-002,REPORT,reset transient rows for report run,manyselves/gui/main_window.py:MainWindow._begin_report_run,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
REPORT-003,REPORT,persist report semantic record,manyselves/gui/main_window.py:MainWindow._handle_report_message,,frontend/src/features/reporting/ReportingWorkspace.test.tsx; frontend/src/features/reporting/reporting-store.test.ts,frontend/e2e/reporting.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
DESKTOP-001,DESKTOP,launch Qt application and GUI loop,manyselves/app.py:ManyselvesApp.run_gui,,,,,planned,,PyQt baseline inventory; implementation and acceptance evidence pending.
DESKTOP-002,DESKTOP,configure application menus and shortcuts,manyselves/gui/main_window.py:MainWindow._setup_menu_bar and _setup_app_shortcuts,,,,,planned,,PyQt baseline inventory; implementation and acceptance evidence pending.
DESKTOP-003,DESKTOP,show pre-project onboarding,manyselves/gui/onboarding.py:show_pre_project_guide,,,,,planned,,PyQt baseline inventory; implementation and acceptance evidence pending.
DESKTOP-004,DESKTOP,show post-project onboarding,manyselves/gui/onboarding.py:show_onboarding,,,,,planned,,PyQt baseline inventory; implementation and acceptance evidence pending.
RECOVERY-001,RECOVERY,rollback message to checkpoint,manyselves/gui/main_window.py:MainWindow._on_rollback_requested,,frontend/src/api/event-stream.test.ts; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/recovery.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
RECOVERY-002,RECOVERY,restore UI after rollback,manyselves/gui/main_window.py:MainWindow._on_rollback_finished,,frontend/src/api/event-stream.test.ts; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/recovery.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
RECOVERY-003,RECOVERY,service restart recovery,docs/superpowers/plans/2026-07-31-manyselves-phase1-01-runtime-foundation.md:Task 3 RuntimeHost lifecycle,,frontend/src/api/event-stream.test.ts; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/recovery.spec.ts,,tested,,Approved new-runtime design reference; no PyQt implementation exists; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
DEPLOY-001,DEPLOY,Electron desktop packaging,docs/superpowers/plans/2026-07-31-manyselves-phase1-05-electron-deployment.md:Task 1 Hardened Electron Shell,,,,,planned,,Approved Electron design reference; no PyQt implementation exists.
DEPLOY-002,DEPLOY,Linux Compose browser deployment,docs/superpowers/plans/2026-07-31-manyselves-phase1-05-electron-deployment.md:Task 4 Build Nginx Web Image and Compose Topology,,,,,planned,,Approved deployment design reference; no PyQt implementation exists.
DEPLOY-003,DEPLOY,backup and restore deployment drill,docs/superpowers/plans/2026-07-31-manyselves-phase1-05-electron-deployment.md:Task 5 Add Backup Restore Operations Packaging and Gate D,,,,,planned,,Approved deployment-test reference; no PyQt implementation exists.
FILE-007,FILE,watcher refresh and coalesced directory changes,manyselves/gui/widgets/file_tree.py:FileTreeWidget._on_directory_changed and _flush_dir_changes,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-008,FILE,persist and restore file-tree state,manyselves/gui/widgets/file_tree.py:FileTreeWidget.save_state and restore_state,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-009,FILE,copy and paste selected workspace items,manyselves/gui/widgets/file_tree.py:FileTreeWidget._copy_selected_items and _paste_clipboard_items,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-010,FILE,external file drop into workspace,manyselves/gui/widgets/file_tree.py:FileTreeWidget._handle_drop,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-011,FILE,propagate root and renamed paths to open views,manyselves/gui/main_window.py:MainWindow._on_file_tree_path_changed,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-006,EDITOR,persist and restore open editor tabs,manyselves/gui/widgets/preview.py:PreviewWidget.save_open_tabs and restore_open_tabs,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-007,EDITOR,emit selected line context,manyselves/gui/widgets/preview.py:PreviewWidget.get_selected_context,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-008,EDITOR,standard edit commands and keyboard shortcuts,manyselves/gui/main_window.py:MainWindow._dispatch_standard_edit and _setup_app_shortcuts,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-006,PREVIEW,PDF in-app preview,manyselves/gui/widgets/preview.py:_create_pdf_viewer,PDF range URL and byte-range download,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Self-hosted pdf.js worker page navigation fit-width zoom and authenticated range transport implemented; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-007,PREVIEW,image and SVG in-app preview,manyselves/gui/widgets/preview.py:_create_image_viewer and _create_svg_viewer,ImagePreview DTO and authenticated content URL,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Fit and zoom plus browser-side SVG defense in depth verified; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-008,PREVIEW,spreadsheet in-app preview,manyselves/gui/widgets/preview.py:_create_spreadsheet_viewer,SpreadsheetPreview bounded DTO,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Sheet selection dimensions cell text and truncation verified; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-009,PREVIEW,DOCX and legacy Word preview behavior,manyselves/gui/widgets/preview.py:_create_docx_viewer and _create_legacy_word_viewer,DocxPreview DTO,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,DOCX normalized blocks verified; unsupported legacy Word uses safe metadata and download fallback; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-010,PREVIEW,Markdown text and CSV preview behavior,manyselves/gui/widgets/preview.py:_create_viewer,Markdown Text and Spreadsheet preview DTOs,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Raw HTML stays inactive and bounded CSV table flow is browser-tested; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-006,CONV,clear current agent conversation,manyselves/gui/main_window.py:MainWindow._on_conversation_cleared,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
MESSAGE-006,MESSAGE,show editor context attachment and file references,manyselves/gui/widgets/agent_panel.py:AgentPanel.set_preview_context and _on_file_reference_requested,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-006,AGENT,make dynamic runtime agents visible while streaming,manyselves/gui/main_window.py:MainWindow._ensure_agent_visible and _handle_agent_response,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
AGENT-007,AGENT,render agent thinking state and stream,manyselves/gui/widgets/agent_panel.py:AgentPanel.start_thinking append_thinking and finish_thinking,,frontend/src/features/agents/AgentSidebar.test.tsx; frontend/src/features/agents/event-reducer.test.ts,frontend/e2e/agents.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
